1.4681312823302732,1.0141602683349145,2,3,3,0
0.3587903746618379,3.3345321050013204,2,3,3,0
0.23981809195304934,2.502007520501138,2,2,2,0
448.4473490734518,0.9215818791064023,2,2183,0,0
1.4949811106350814,0.8217532936996577,6,10,0,0
11.970263194109174,1.5104027686875854,2,109,0,0
9.450958707247164,0.39622232754561537,2,64,0,0
2.903764569697166,0.08666484389648663,2,19,0,0
5.426137961519946,0.8034698868723353,4,47,47,0
64.73946149579133,0.3636604746383164,4,519,2,0
0.5216872095228056,14.333158619168898,4,6,9,0
0.43176995635230836,14.569858008802111,2,5,8,0
0.21797236731341327,12.512860618000559,2,2,4,0
0.9868097603010538,7.1054147475006175,7,2,0,0
3.9723659406519087,7.798110191409003,4,22,69,0
0.307722085745523,0.212660775000586,2,4,4,0
0.16934353654725465,3.4413247796680175,2,3,0,0
0.15385852603629915,0.00028101349926146213,2,2,2,0
0.4101641049681439,26.320017941501646,4,2,11,0
0.38509362728794,23.42490083533509,2,3,11,0
0.21164500062532193,22.512736581500576,2,2,6,0
137.36424729601998,21.667742080736605,2,1329,0,0
0.07054959423307108,23.867474943999696,2,1,2,0
0.6107449443606352,19.709567330199206,10,5,0,0
5.777643715826536,17.668649212166564,2,30,0,0
3.6102473485378637,17.23614936629276,3,17,0,0
3.9799411248245002,16.83297642280013,4,50,119,0
35.833766182549816,16.076163119730076,4,350,2,0
0.3593461866177185,12.684141137335246,2,6,10,0
0.20418505900409503,12.83468509774957,2,4,6,0
1.1409332915392536,3.9246962887571666,3,33,0,0
0.46210268869384663,31.200945602501633,4,4,15,0
0.362684289670682,33.46833124333474,2,3,14,0
0.20851527396552044,32.524198379000154,2,2,8,0
0.504396147610965,32.61368149249938,11,2,0,0
0.060005174545027275,27.000334284002747,2,1,0,0
3.125034042792778,31.560897609166204,4,6,125,0
0.36998885751331745,20.048059409002235,2,2,12,0
0.26163592145011877,24.692047529572715,2,7,0,0
0.21973620716122666,23.40817232599875,2,2,8,0
0.06342178027648707,0.12734727899987774,2,2,2,0
0.3946517828584462,0.09465136473202923,2,15,0,0
0.44017366358181953,44.82258251766749,4,6,21,0
0.3702274704893103,42.48887556175123,2,4,18,0
0.20673071124549053,42.536418826000954,2,2,10,0
110.84978573984921,40.85846500247448,2,1458,0,0
0.133817438256471,40.355452101248375,3,4,6,0
0.47186113784365097,41.73486898025021,13,4,0,0
2.9364321168747654,43.91445771799863,2,8,0,0
2.374759152101321,44.95493804770931,4,38,0,0
0.06078667988713207,43.02280861500185,2,1,0,0
3.2775015642283924,42.86992795233331,4,39,164,0
0.35047549087887714,30.210927161668224,2,3,15,0
0.21621049663281938,33.2524834904998,2,2,10,0
0.11123619872557039,18.33633423674928,2,4,5,0
0.2250629139805779,0.030818650091201893,2,11,0,0
0.4011200436541201,56.839771203000055,4,2,23,0
0.42609045864279466,50.13073499371603,2,7,25,0
0.2055382170112949,52.547274897500756,2,2,12,0
3.334922947978908,45.176477529523254,2,21,0,0
4.868695915304105,45.041512471102045,4,126,0,0
3.4124235366753597,45.473538039882385,4,34,198,0
16.44479367734021,46.14896322399727,4,1,3,0
0.34068495170487817,40.25255716700243,2,3,18,0
0.2078727555117559,42.82165980800164,2,2,0,0
0.22595880096876778,40.10831412600055,2,2,12,0
0.6557665323129306,36.57165380339866,3,5,0,0
0.07659115968828704,20.870150549000755,2,2,4,0
0.4288011441166733,61.701101349502096,4,4,27,0
0.4354121786172117,64.8469227866015,2,5,30,0
0.20468436003731766,62.56089891550073,2,2,14,0
108.45216655027032,62.947680398525804,2,2277,0,0
0.4482484288392473,59.190011571332434,16,6,0,0
2.6890084739655244,58.677693162750984,2,4,0,0
3.079646241816427,58.37686305450037,4,12,210,0
0.33431543339465825,50.266327933000866,2,3,21,0
0.24365772223792365,53.04376832725029,2,4,0,0
0.23640976239514802,50.94441733499934,2,4,16,0
0.7980039774444646,44.22250362623441,4,17,0,0
0.028853405624470287,45.04352705299971,2,1,2,0
0.29030528814391343,27.689882150499216,2,4,0,0
0.3696838691084157,0.5855432297495705,3,24,19,0
0.434650922414446,0.7998620664482838,3,29,10,0
